,,$100.00,Basil Deardens London Underground,,,$11.50,Average Sale Price,,,
7/14/2025,$9.00,-$1.65,-$4.47,,Barbra Steisand One Voice,-$0.13,$2.76,,,2429
7/14/2025,$11.75,-$2.16,-$4.47,,Too Old to Rock n Roll Too Young to Die by Jethro Tull,$0.75,$5.87,,,2506
7/15/2025,$7.00,-$1.35,-$4.47,,How to Make an American Quilt,-$0.38,$0.80,,,
7/15/2025,$18.00,-$3.09,-$4.47,,Dream Theater Chaos in Motion,-$0.24,$10.20,,,2511
7/15/2025,$7.75,-$1.46,-$4.47,,Jackson 5 The Ultimate Collection by The Jackson 5 CD,$0.75,$2.57,,,2506
7/16/2025,$7.50,-$1.42,-$4.47,,The Associate Audtiobook by John Grisham CD,$0.77,$2.37,,,2420
7/17/2025,$40.00,-$6.38,-$5.97,,Pimsleur language programs French I II III,$0.64,$28.29,,,2513
7/17/2025,$10.00,-$1.80,-$4.47,,Creepshow 3 SCREENER,$0.43,$4.17,,,2428
7/19/2025,$8.50,,-$4.47,,Sounds of Summer Very Best of the Beach Boys by The Beach Boys,$0.75,$4.78,,,2506
7/19/2025,$8.00,-$1.50,-$4.47,,Beneath Still Waters SCREENER,$0.43,$2.47,,,2428
7/19/2025,,,,-$17.00,Purchased DVDs,,,,,
7/20/2025,$14.00,-$2.49,-$4.47,,Vinnie Colaiuta by Vinnie Colaiuta CD,$0.64,$7.67,,,2513
7/20/2025,$14.50,-$2.57,-$4.47,,Schramm,$0.03,$7.49,,,2509
7/21/2025,$14.50,-$2.57,-$4.47,,Live at the Fox Theatre by Counting Crows CD,$0.75,$8.21,,,2506
7/22/2025,$10.50,-$1.97,-$4.47,,Joseph Campbell Sukhavati Mystic Journey,$0.80,$4.86,,,2402
7/23/2025,$35.00,-$5.63,-$4.47,,Time Line by Brubeck Brothers Quartet CD,$0.71,$25.61,,,2433
7/23/2025,$7.75,-$1.46,-$4.47,,Christmas in My Heart by Connie Francis CD,$0.64,$2.46,,,2513
7/24/2025,$7.50,-$1.42,-$4.47,,Fleetwood Mac The Dance,-$0.24,$1.37,,,2511
7/24/2025,$8.50,-$1.57,-$4.47,,A Goofy Movie,$0.00,$2.46,,,
7/24/2025,$10.00,-$1.80,-$4.47,,Britney Spears Greatest Hits My Prerogative,$0.03,$3.76,,,2509
7/25/2025,$10.00,-$1.80,-$5.22,,Bon Jovi Live at Madison Square Garden,$0.03,$3.01,,,2509
7/25/2025,$12.00,-$2.19,$0.00,,Inside Metal Pioneers of LA Hard Rock and Metal,$0.03,$9.83,,,2509
7/25/2025,$12.00,-$2.19,$0.00,,Live on Earth by Arjen Anthony,$0.79,$10.59,,,2411
7/26/2025,$12.75,-$2.31,-$4.47,,P90X Workout 12 Extreme Training Routines ,,$5.97,,,
7/26/2025,$7.00,-$1.35,-$4.47,,Letter from Home by Pat Metheny Group CD,$0.64,$1.82,,,2513
7/27/2025,$8.28,-$1.54,-$4.47,,White Nights and Jazz in Leningrad by The Billy Taylor Trio CD,$0.71,$2.98,,,2433
7/28/2025,$9.00,-$1.65,-$4.47,,I Wanna Hold Your Hand,$0.03,$2.91,,,2509
8/3/2025,$7.50,-$1.42,-$4.47,,Greatest Hits by The Who CD,$0.64,$2.25,,,2513
8/3/2025,$7.22,-$1.38,-$4.47,,Greatest Hit of the Outlaws by The Outlaws CD,$0.38,$1.75,,,2507
8/3/2025,$22.00,-$3.69,-$4.47,,Winds of Change California Zephyr 1949 2005,,$13.84,,,
8/4/2025,$7.50,-$1.42,-$4.47,,U2 Elevation 2001,-$0.81,$0.80,,,
8/4/2025,$25.00,-$4.14,-$4.47,,Under the Sun,-$0.56,$15.84,,,2409
