,,,,,,,
$198.03,Payment Received,PayPal Fee,Postage,Other Costs,,,
10/22/2014,$3.00,-$0.39,-$2.09,,I Am Sam,,$0.52
10/23/2014,$4.94,-$0.44,-$2.01,,,,$2.49
10/24/2014,$3.00,-$0.39,-$2.09,,Austin Powers: Internation Man of Mystery,,$0.52
10/24/2014,$4.08,-$0.42,-$2.09,,"Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,$1.57
10/24/2014,$3.94,-$0.41,-$2.09,,National Treasure 2,,$1.44
10/24/2014,$5.94,-$0.47,-$2.93,,"The Bob Newhart Show, season 2",,$2.54
10/25/2014,$6.90,-$0.50,-$2.09,,1941,,$4.31
10/25/2014,$4.08,-$0.42,-$2.09,,Avatar,,$1.57
10/25/2014,$3.94,-$0.41,-$2.09,,Body Double,,$1.44
10/25/2014,$3.00,-$0.39,-$2.09,,Legally Blonde 2,,$0.52
10/25/2014,$4.08,-$0.42,-$2.09,,X-Men Origins:: Wolverine,,$1.57
10/27/2014,$9.97,-$0.59,-$3.11,,"Constantine, Kindergarten Cop, The Hours",,$6.27
10/29/2014,$3.50,-$0.40,-$2.01,,Caddyshack,,$1.09
10/29/2014,$3.34,-$0.40,-$2.01,,Message in a Bottle,,$0.93
10/30/2014,$3.94,-$0.41,-$2.01,,The Onion Movie,,$1.52
10/31/2014,$5.94,-$0.47,-$2.76,,Curb Your Enthusiasm Season 1,,$2.71
10/31/2014,,$0.00,,-$17.11,eBay fees,,-$17.11
10/31/2014,$13.44,-$0.69,-$2.42,,"Secretary, Paul Blart Mall Cop",,$10.33
11/2/2014,$3.00,-$0.39,-$2.01,,Night at the Museum: Battle of the Smithsonian,,$0.60
11/2/2014,$4.94,-$0.44,-$2.01,,Notorious,,$2.49
11/2/2014,$15.50,-$0.75,-$2.93,,Sold Ion Clipster Bluetooth Speaker,,$11.82
11/2/2014,$3.74,-$0.41,-$2.42,,Terminator 2: Judgement Day,,$0.91
11/2/2014,$3.58,-$0.40,-$2.09,,The Notebook,,$1.09
11/2/2014,$3.58,-$0.40,-$2.09,,Transformers,,$1.09
11/3/2014,$39.95,-$1.46,-$5.90,,Sold Chicago Cutlery Steak Knives,,$32.59
11/4/2014,$3.24,-$0.39,-$2.25,,Jersey Girl,,$0.60
11/4/2014,$15.95,-$0.76,-$3.40,,Jurassic Park Trilogy,,$11.79
11/4/2014,$2.00,-$0.36,-$3.88,,Sold J. Edgar Hoover book,,-$2.24
11/4/2014,$4.20,-$0.42,-$2.09,,The Chronicles of Narnia: Prince Caspian,,$1.69
11/5/2014,$5.94,-$0.47,-$2.25,,Eddie Murphy: Raw,,$3.22
11/6/2014,$5.94,-$0.47,-$2.01,,Fried Green Tomatoes,,$3.46
11/7/2014,$7.69,-$0.52,-$2.09,,Downfall,,$5.08
11/7/2014,,$0.00,,-$20.00,Purchased DVDs,,-$20.00
11/8/2014,$3.58,-$0.40,-$2.09,,Unfaithful,,$1.09
11/9/2014,$8.95,-$0.56,-$2.09,,Transformers: Dark of the Moon,,$6.30
11/10/2014,,$0.00,-$2.59,,Independence Day,,-$2.59
11/10/2014,$3.84,-$0.41,-$2.09,,The Family Man,,$1.34
11/11/2014,$3.70,-$0.41,-$2.09,,Resident Evil: Ressurection,,$1.20
11/11/2014,$4.44,-$0.43,-$3.29,,The Simpsons Season 1,,$0.72
11/12/2014,$5.44,-$0.46,-$2.09,,Billy Elliot,,$2.89
11/14/2014,$3.58,-$0.40,-$2.09,,The Village,,$1.09
11/17/2014,,,,-$30.00,Purchased DVDs,,
11/17/2014,$3.70,-$0.41,-$2.01,,Shooter,,$1.28
11/18/2014,$4.44,-$0.43,-$2.01,,Jeepers Creepers Double Feature,,$2.00
11/18/2014,$5.44,-$0.46,-$2.09,,Lone Wolf McQuade,,$2.89
11/18/2014,$3.94,-$0.41,-$2.42,,Pirates of the Caribbean: At World's End,,$1.11
11/18/2014,$35.99,-$1.34,-$3.47,,"Sold Charles Latour Watch, Blue",,$31.18
11/19/2014,$7.44,-$0.52,-$2.01,,A Christmas Story,,$4.91
11/19/2014,$4.08,-$0.42,-$2.09,,Finding Nemo,,$1.57
11/19/2014,$5.44,-$0.46,-$2.09,,The Polar Express,,$2.89
11/20/2014,$4.94,-$0.44,-$2.09,,A Christmas Carol,,$2.41
11/20/2014,,$0.00,,-$41.22,eBay fees,,-$41.22
11/20/2014,$4.08,-$0.42,-$2.25,,Ice Age,,$1.41
11/20/2014,$4.50,-$0.43,-$2.01,,Kindergarten Cop,,$2.06
11/21/2014,$4.00,-$0.42,-$2.01,,10,,$1.57
11/21/2014,$4.94,-$0.44,-$2.01,,A Christmas Carol,,$2.49
11/22/2014,$4.34,-$0.43,-$2.09,,Shaolin Soccer,,$1.82
11/22/2014,$3.50,-$0.40,-$2.01,,Stranger Than Fiction,,$1.09
11/22/2014,$6.94,-$0.50,-$2.09,,Toy Story 3,,$4.35
11/23/2014,$4.94,-$0.44,-$2.09,,Breakfast at Tiffany's,,$2.41
11/23/2014,$5.94,-$0.47,-$2.93,,The Royal Tenenbaums,,$2.54
11/24/2014,$7.44,-$0.52,-$2.01,,Rudolph the Red-Nosed Reindeer,,$4.91
11/26/2014,$13.95,-$0.70,-$2.09,,Mickey's Magical Christmas,,$11.16
11/28/2014,$3.50,-$0.40,-$2.42,,Die Hard 2,,$0.68
11/28/2014,$3.50,-$0.40,-$2.09,,W.,,$1.01
11/29/2014,$3.58,-$0.40,-$2.09,,Pirates of the Caribbean: At World's End,,$1.09
11/29/2014,$3.58,-$0.40,-$2.09,,Pirates of the Caribbean: Dead Man's Chest,,$1.09
11/29/2014,$9.94,-$0.59,-$2.09,,Toy Story,,$7.26
11/29/2014,$5.94,-$0.47,-$2.01,,Transformers: Dark of the Moon,,$3.46
11/30/2014,$3.50,-$0.40,-$2.01,,The Great Outdoors,,$1.09
12/3/2014,$3.58,-$0.40,-$2.25,,Casino Royale,,$0.93
12/3/2014,$4.98,-$0.44,-$2.09,,The Deep,,$2.45
12/3/2014,$6.65,-$0.49,-$2.25,,Titanic,,$3.91
12/4/2014,$4.94,-$0.44,-$2.01,,Iron Man 2,,$2.49
12/4/2014,$4.94,-$0.44,-$2.01,,Skyfall,,$2.49
12/5/2014,$2.99,-$0.39,-$2.09,,National Treasure,,$0.51
12/5/2014,$4.94,-$0.44,-$2.25,,Shrek 3-D,,$2.25
12/5/2014,$3.91,-$0.41,-$2.42,,Spider-Man 2,,$1.08
12/6/2014,$3.99,-$0.42,-$2.01,,First Blood,,$1.56
12/6/2014,$3.50,-$0.40,-$2.09,,Gosford Park,,$1.01
12/6/2014,$3.39,-$0.40,-$2.09,,Indiana Jones and the Kingdom of the Crystal Skull,,$0.90
12/6/2014,$4.75,-$0.44,-$2.01,,Jurassic Park,,$2.30
12/6/2014,,,,-$40.00,Purchased DVDs,,
12/6/2014,$4.08,-$0.42,-$2.09,,Shrek,,$1.57
12/6/2014,$2.99,-$0.39,-$2.25,,Terminator 2,,$0.35
12/7/2014,$3.20,-$0.39,-$2.09,,Peter Pan (2003),,$0.72
12/7/2014,$4.70,-$0.44,-$2.42,,Star Trek: The Motion Picture,,$1.84
12/7/2014,$3.19,-$0.39,-$2.09,,The Bourne Supremacy,,$0.71
12/7/2014,$4.39,-$0.43,-$2.09,,X-Men Origins:: Wolverine,,$1.87
12/7/2014,$3.25,-$0.39,-$2.09,,X-Men: The Last Stand,,$0.77
12/8/2014,$4.94,-$0.44,-$2.09,,"Six Days, Seven Nights",,$2.41
12/9/2014,$3.35,-$0.40,-$2.01,,48 Hrs.,,$0.94
12/9/2014,$17.94,-$0.82,-$3.29,,Jaws 30th Anniversary Edition,,$13.83
12/9/2014,$3.58,-$0.40,-$2.09,,The Last Samurai,,$1.09
12/10/2014,$3.40,-$0.40,-$2.09,,Cool Hand Luke,,$0.91
12/10/2014,$3.55,-$0.40,-$2.09,,Shrek 2,,$1.06
12/10/2014,$3.60,-$0.40,-$2.09,,The Majestic,,$1.11
12/10/2014,$5.44,-$0.46,-$2.09,,The Philedelphia Experiment,,$2.89
12/13/2014,,,,-$15.00,Purchased DVDs,,
12/13/2014,$6.99,-$0.50,-$2.09,,The Big Lebowski,,$4.40
12/14/2014,$3.50,-$0.40,-$2.09,,Get Smart,,$1.01
12/14/2014,$5.99,-$0.47,-$2.09,,Indiana Jones and the Last Crusade,,$3.43
12/14/2014,$3.52,-$0.40,-$2.25,,Transformers,,$0.87
12/15/2014,$4.99,-$0.44,-$2.09,,Disney/Pixar Cars Rev'd Up,,$2.46
12/15/2014,$3.89,-$0.41,-$2.01,,National Lampoon's Vacation,,$1.47
12/15/2014,$3.39,-$0.40,-$2.01,,P.S. I Love You,,$0.98
12/15/2014,,$0.00,,-$19.20,Purchased Packing Tape,,-$19.20
12/16/2014,$7.99,-$0.53,-$2.09,,Dead Poets Society,,$5.37
12/16/2014,$5.45,-$0.46,-$2.25,,James Taylor & Band - Pull Over,,$2.74
12/16/2014,$4.09,-$0.42,-$2.09,,Raiders of the Lost Ark,,$1.58
12/16/2014,$2.89,-$0.38,-$2.09,,The Bourne Identity,,$0.42
12/16/2014,$3.19,-$0.39,-$2.09,,The Fast and the Furious,,$0.71
12/16/2014,$2.89,-$0.38,-$2.59,,The Lord of the Rinigs: The Two Towers,,-$0.08
12/16/2014,$3.39,-$0.40,-$2.09,,Walk the Line,,$0.90
12/17/2014,$3.19,-$0.39,-$2.09,,Bruce Almighty,,$0.71
12/17/2014,$7.08,-$0.51,-$2.09,,"Die Hard, Die Hard 4: Live Free or Die Hard",,$4.48
12/17/2014,$6.50,-$0.49,-$2.09,,Funny Farm,,$3.92
12/17/2014,$3.89,-$0.41,-$2.09,,Hoosiers,,$1.39
12/17/2014,$3.59,-$0.40,-$2.09,,The Hunt for Red October,,$1.10
12/17/2014,$3.39,-$0.40,-$2.09,,The Lord of the Rings: The Return of the King,,$0.90
12/17/2014,$7.99,-$0.53,-$2.09,,The Towering Inferno,,$5.37
12/18/2014,$5.49,-$0.46,-$2.25,,All the President's Men,,$2.78
12/18/2014,$6.49,-$0.49,-$2.09,,Cirque du Soleil: Worlds Away,,$3.91
12/18/2014,$3.09,-$0.39,-$2.09,,"Crouching Tiger, Hidden Dragon",,$0.61
12/18/2014,$8.89,-$0.56,-$2.01,,Funny Girl,,$6.32
12/18/2014,$3.19,-$0.39,-$2.76,,Harry Potter and the Chamber of Secrets,,$0.04
12/18/2014,$3.25,-$0.39,-$2.25,,The Simpsons Movie,,$0.61
12/18/2014,$2.99,-$0.39,-$2.01,,What a Girl Wants,,$0.59
12/19/2014,$5.69,-$0.47,-$2.01,,A Bronx Tale,,$3.21
12/19/2014,$2.89,-$0.38,-$2.01,,Caddyshack 2,,$0.50
12/19/2014,$3.89,-$0.41,-$2.25,,Saving Private Ryan,,$1.23
12/19/2014,$3.59,-$0.40,-$2.09,,Super Troopers,,$1.10
12/19/2014,$3.39,-$0.40,-$2.01,,Total Recall,,$0.98
12/20/2014,$3.59,-$0.40,-$2.76,,Amelie,,$0.43
12/20/2014,$4.00,-$0.42,-$2.01,,Doc Hollywood,,$1.57
12/20/2014,$6.50,-$0.49,-$2.09,,Joe Dirt,,$3.92
12/20/2014,$6.60,-$0.49,-$2.09,,Ruthless Peopole,,$4.02
12/20/2014,$3.39,-$0.40,-$2.01,,Sherlock Holmes,,$0.98
12/20/2014,$19.49,-$0.87,-$3.88,,Sold The Nourished Kitchen,,$14.74
12/20/2014,$3.19,-$0.39,-$2.09,,The Matrix,,$0.71
12/20/2014,$2.89,-$0.38,-$2.42,,The Matrix Reloaded,,$0.09
12/20/2014,$2.89,-$0.38,-$2.42,,The Matrix Revolutions,,$0.09
12/20/2014,$2.89,-$0.38,-$2.09,,The Musketeer,,$0.42
12/21/2014,$3.69,-$0.41,-$2.25,,2 Fast 2 Furious,,$1.03
12/21/2014,$3.39,-$0.40,-$2.09,,Catch Me If You Can,,$0.90
12/21/2014,$7.49,-$0.52,-$0.68,,Driving Miss Daisy,,$6.29
12/21/2014,$3.49,-$0.40,-$0.68,,Pirates of the Caribbean: Dead Man's Chest,,$2.41
12/21/2014,$4.49,-$0.43,-$2.01,,Raiders of the Lost Ark,,$2.05
12/21/2014,$9.25,-$0.57,-$2.09,,Someone to Watch Over Me,,$6.59
12/21/2014,$2.89,-$0.38,-$2.09,,Spaceballs,,$0.42
12/21/2014,$5.19,-$0.45,-$0.68,,Step Brothers,,$4.06
12/21/2014,$4.89,-$0.44,-$2.09,,Ted Bundy,,$2.36
12/21/2014,$7.48,-$0.52,-$2.09,,The Hand That Rocks the Cradle,,$4.87
12/21/2014,$2.89,-$0.38,-$2.09,,The Manchurian Candidate,,$0.42
12/21/2014,$3.59,-$0.40,-$0.68,,U-571,,$2.51
12/21/2014,$3.19,-$0.39,-$0.68,,Underworld,,$2.12
12/22/2014,$3.89,-$0.41,-$2.09,,Bad Santa,,$1.39
12/22/2014,$3.19,-$0.39,-$2.09,,The Dark Knight,,$0.71
12/23/2014,$6.49,-$0.49,-$2.01,,Disney Animation Coillection 6: The Reluctant Dragon,,$3.99
12/23/2014,$3.19,-$0.39,-$2.09,,Final Destination 3,,$0.71
12/23/2014,$3.39,-$0.40,-$2.59,,Planet of the Apes,,$0.40
12/23/2014,$6.59,-$0.49,-$2.25,,The Burbs,,$3.85
12/23/2014,$3.19,-$0.39,-$2.42,,X2: X-Men United,,$0.38
12/24/2014,$2.89,-$0.38,-$2.59,,Blade: Trinity,,-$0.08
12/24/2014,$4.00,-$0.42,-$2.09,,King of New York,,$1.49
12/24/2014,$5.49,-$0.46,-$2.01,,The Lovely Bones,,$3.02
12/24/2014,$4.79,-$0.44,-$2.09,,True Romance,,$2.26
12/25/2014,$4.29,-$0.42,-$2.42,,Cast Away,,$1.45
12/25/2014,$3.19,-$0.39,-$2.09,,The Day After Tomorrow,,$0.71
12/25/2014,$4.89,-$0.44,-$2.01,,Weekend at Bernie's,,$2.44
12/26/2014,$3.89,-$0.41,-$2.01,,Delirious,,$1.47
12/26/2014,$10.09,-$0.59,-$2.76,,Double Indemnity,,$6.74
12/26/2014,$2.99,-$0.39,-$2.01,,First Blood,,$0.59
12/26/2014,$3.19,-$0.39,-$2.09,,Happy Gilmore,,$0.71
12/26/2014,$2.95,-$0.39,-$2.09,,Lady in the Water,,$0.47
12/27/2014,$3.09,-$0.39,-$2.09,,Forgetting Sarah Marshall,,$0.61
12/27/2014,$3.19,-$0.39,-$2.09,,Man of the Year,,$0.71
12/27/2014,$3.69,-$0.41,-$2.09,,My Bloody Valentine,,$1.19
12/27/2014,$3.69,-$0.41,-$2.01,,Quantum of Solice,,$1.27
12/28/2014,$3.19,-$0.39,-$2.59,,Die Another Day,,$0.21
12/28/2014,$3.19,-$0.39,-$2.09,,Harry Potter and the Goblet of Fire,,$0.71
12/28/2014,$3.69,-$0.41,-$2.76,,Harry Potter and the Sorcerer's Stone,,$0.52
12/28/2014,$3.59,-$0.40,-$2.09,,Romper Stomper,,$1.10
12/28/2014,$3.19,-$0.39,-$2.42,,The Lord of the Rings: The Fellowship of the Ring,,$0.38
12/28/2014,$3.29,-$0.40,-$2.09,,What's Eating Gilbert Grape?,,$0.80
12/29/2014,$3.19,-$0.39,-$2.01,,Cloverfield,,$0.79
12/29/2014,$5.49,-$0.46,-$2.01,,Kramer Vs. Kramer,,$3.02
12/29/2014,$2.89,-$0.38,-$2.42,,Reservoir Dogs,,$0.09
12/29/2014,$3.49,-$0.40,-$2.59,,Resident Evil: Apocalypse,,$0.50
12/29/2014,$3.19,-$0.39,-$1.30,,The Bourne Supremacy,,$1.50
12/29/2014,$2.89,-$0.38,-$1.30,,The Bourne Ulitimatum,,$1.21
12/29/2014,$3.19,-$0.39,-$2.01,,The Perfect Storm,,$0.79
12/30/2014,$3.49,-$0.40,-$2.09,,Magic Mike Blu-Ray,,$1.00
12/30/2014,$2.89,-$0.38,-$2.09,,Memoirs of a Geisha,,$0.42
12/30/2014,$3.39,-$0.40,-$2.09,,Pirates of the Caribbean: Dead Man's Chest,,$0.90
12/30/2014,$29.99,-$1.17,-$2.09,,Sold iPhone 5/5s LifeProof Case,,$26.73
12/30/2014,$3.09,-$0.39,-$2.09,,Spider-Man 3,,$0.61
12/30/2014,$7.89,-$0.53,-$2.09,,Star Wars Episode III: Revenge of the Sith,,$5.27
12/30/2014,$2.85,-$0.38,-$2.09,,Superman Returns,,$0.38
12/30/2014,$3.19,-$0.39,-$2.09,,The Watcher,,$0.71
12/30/2014,$2.89,-$0.38,-$2.09,,,,$0.42
12/31/2014,$3.14,-$0.39,-$2.09,,Be Cool,,$0.66
12/31/2014,$3.29,-$0.40,-$2.09,,Boiler Room,,$0.80
12/31/2014,$3.84,-$0.41,-$2.09,,Boomerang,,$1.34
12/31/2014,$3.24,-$0.39,-$2.59,,Forrest Gump,,$0.26
12/31/2014,$3.24,-$0.39,-$2.09,,Hellboy II: The Golden Army,,$0.76
12/31/2014,$3.24,-$0.39,-$2.25,,Road to Perdition,,$0.60
12/31/2014,$2.89,-$0.38,-$2.09,,The Bourne Identity,,$0.42
12/31/2014,$4.89,-$0.44,-$2.09,,To Catch a Thief,,$2.36
12/31/2014,$4.84,-$0.44,-$2.09,,While You Were Sleeping,,$2.31
12/30/2015,,,,-$15.00,Purchased DVDs,,-$15.00
